Content,Project_Title,Discussion_id,Creation_date,Last_Updated_data,Summary
,,,,,
"<div><p>Position sensors are ubiquitous in today’s world – though they are often known by other names. If you have ever used a computer mouse, you have used a position sensor. This project explores coupling a low cost wireless position sensor with hand-held ultrasonic testing (UT) inspection units to make inspections faster, more accurate and safer.
Position sensors are ubiquitous in today’s world – though they are often known by other names. If you have ever used a computer mouse, you have used a position sensor. One of the most complex position encoders would be a variety of technologies that utilize GPS. Considering we are able to detect the position of your car to a few meters with the points of reference being in, quite literally, outer space – it is quite a technological feat. Somewhere in the middle of the spectrum lie sensors such as <a href=""https://www.ascension-tech.com/products/"">flock of birds</a> or <a href=""https://www.youtube.com/watch?v=BG80pCf25BE"">trakStar</a>. As you can see, position sensors can we wired or wireless, affordable or very expensive.  
  
This challenge seeks to couple a low cost wireless position sensor with hand-held ultrasonic testing (UT) inspection units to make inspections faster, more accurate and safer. 
  
UT is an extremely common non-destructive testing process that is widely used in many industries. Industrial applications range from measurement of wall thickness in oil &amp; gas pipe lines (to evaluate corrosion damage) to the measurement of defects in composite parts of wind turbines to microstructure evaluations of welds during pipe manufacturing.  
  
While there have been several automation products for taking UT measurements, such as crawlers, robots and pigs – there is still a large need for manual inspections. There are several inspection scenarios where the use of a robotic crawler is not practical. Consider for example, a complex bend in a pipe that is suspended several feet above the ground in a refinery as part of a large piping network. A robotic crawler wouldn’t be able to carry the weight of the cables or the couplant lines and the clearance available around the pipe is often too small to accommodate it. Portable UT systems largely solve these issues with a system that is small enough to be carried to the asset by an operator. 
  
<img alt=""probe.jpg"" src=""https://ucarecdn.com/d16f63f6-37de-4f22-a243-0f0932076d0d/-/preview/1024x2048/"">However, with the increase in popularity of handheld units that allowed for easy scanning, also arrived a new complication. These units don’t provide a way to accurately track the position of the sensor on the scan surface. Therefore, if the operator wanted to pinpoint the location of an indication he saw on the scan or screen, there is no real way to do it. For example, in the image below, showing the ultrasound scan image of a flat plate, it is easy to see that there are multiple defects within the scan area, seen as red spots. However, if one of those red spots are identified as a defect for further investigation, there is no way to correlate that spot to an exact location on the pipe – most operators today try to mark the approximate point with something physical such as a sharpie for further future investigation. 
<img alt=""Scanner display.jpg"" src=""https://ucarecdn.com/cc80f67c-1aa2-4187-9150-cc656efa2608/-/preview/1024x2048/"">There are two ways this problem is addressed in the field. One is to pre-grid the areas to be scanned. For example, if an operator is inspecting a pipe elbow in a refinery, she/he manually draws a grid of say 1cm x 1cm on this pipe with a marker or something and inspects in each ""square"" of the grid. This, however, is too time consuming and error-prone. For very hard to reach and complex shaped structures (imagine a complex bend in a pipe that passes over and under multiple other pipes carrying very hot liquid in a refinery), it often takes several hours just to grid the pipe section – and that is prior to even beginning the scan.

 The second option is to use an encoder attachment on the transducer as in the video:
<iframe height=""315"" src=""https://www.youtube.com/embed/e2bblOJKoGY"" width=""560""></iframe>
  For this method, the encoder results in a system that is inherently limited in the scan “freedom” – the scans must conform to a surface, must be along a line etc. The system is also bulky and unwieldly with wires, couplant line, encoder data etc., all of which must be carried along with the transducer.
With the community’s help, we want to develop a wireless position encoder that makes the job of the inspector easier and safer by eliminating the hours needed for gridding an asset before scanning it in a fundamentally hazardous environment. Even more, a position sensor would enable much higher scan resolution than what could be obtained by even the most painstakingly created manual grid.  This enhanced resolution will directly translate into early detection of issues and increased safety of the assets being inspected. 
  
While the ideal submission will be applicable to a wide variety of ultrasonic inspections, the minimum requirement for this challenge is the design of a wireless position sensor for the manual ultrasonic inspection of pipe welds.

FAQs
</p><ul><li>How many degrees of freedom are required for tracking? 
  <ul><li>We would need to measure 3D position (so X, Y, Z) and the angle of rotation in the plane of the sensor-- we would need to allow for all 6DOF of motion but we only need to measure only the 4 “coordinates”. 
  </li></ul></li><li>What is the envelope for the measurement ? 
  <ul><li>We are hoping to measure a curved surface (like a pipe surface) that can be projected on to a 1m x 1m square (one would topologically call this a manifold but basically we are looking for a 2.5 D surface, that is a surface that is curved in 3 dimensions).  We would like a resolution of 1mm or less in each of the three dimensions.
  </li></ul></li><li>How often the position data needs to be refreshed, i.e. Bandwidth?
  <ul><li>Refresh rates of 50Hz or higher are necessary. The higher the better. 
  </li></ul></li><li>Can the tracking device be placed onboard the item? or is the tracked item expected to be in its own configuration (no additional components installed)
  <ul><li>Yes the actual tracker should be placed on board the inspection probe.
  </li></ul></li><li>What position sensing technologies could be used ? 
  <ul><li>Anything that doesn’t conflict with the ultrasound testing system could potentially be used. Do be aware that the pipes may be ferromagnetic. 
  </li></ul></li><li>What is the frequency range of the UT inspections being carried out today ?         
  <ul><li>500Hz – 15KHz. 
  </li></ul></li><li>How are manual inspections done today ? 
  <ul><li>Currently manual inspections are done by ""gridding"" an area – if we go back to our pipe inspection, the operator manually draws a grid of say 1mm x 1mm on this pipe with a marker or something and inspects in each ""square"" of the grid.
  </li></ul></li><li>Can you describe a typical use case ? 
  <ul><li>A pipe with a diameter of around 12inches (can range from 1 to 36 inches), with a bend radius of 2.0 D (D - diameter of the pipe), suspended 50ft above the ground with a clearance of 1ft on all four sides. 1ft is the minimum distance between the OD of the pipe and the outer surface of the nearest structure.   </li></ul></li></ul></div>",Position Sensor for Inspection Probes,,09-05-2017 16:04,29-03-2018 18:14,Position Sensor for Inspection Probes
,,,,,
"<span><strong>Background</strong>
Historically, X-rays used only film which caused cumbersome and lengthy processing times. Digital X-rays were made possible by radiography scanners that scan the X-ray image and captures it as a digital one. These field radiography scanners use plates (similar to film in film cameras) on which X-rays are taken. The plates are then scanned to digitize the X-rays. Since these plates contain an imaging phosphorous layer, they are (rather unimaginatively) called imaging phosphorous plates, or IP plates for short. GE’s field radiography scanners, used for weld inspection and other areas of non-destructive testing, can only use IP plates made specifically for them. We are looking for ways to create a universal adapter that can fit all “makes and models” of IP plates so that buying our plates isn't required.
<strong>Meet your SMEs</strong>

Steven, @stevenwissels, is a Global Product Sales manager for Field Radiography.     Previously, he was also the Product Manager for CR (Computed Radiography). He has 15+ years of experience in Digital Radiography, working for AGFA and later on for GE Inspection Technologies.     Both of us are employed in the Centre of Excellence for Digital Radiography, based in Belgium.
Johan, @johangrauls, is a sales application engineer with over 20 years of experience in field radiography applications both digital and conventional, supporting the sales organisation world wide and leading the Centre of Excellence (application center for digital conversion) in Belgium.
<strong>Frequently Asked Questions</strong>
<strong>Question: What is computed radiography?</strong>Computed radiography (CR) is technology that records radiographic images on photosensitive phosphor imaging plates (IP) instead of traditional industrial film. After exposing the test object positioned between the X-Ray source and the IP the imaging plate is then scanned in a CR scanner.
<strong>Q. Why is CR used?</strong>Computed Radiography is used in the industry to inspect objects (such as blades, welds, pipes) without having to damage or open the object. This technology is using reusable IP plates, resulting in lower inspection costs, and at the same time having shorter exposure times than with industrial film.
<strong>Q: Why is the system important to the industry?</strong>The system is today’s leader in for computed radiography scanners. It is one of the few, if not the only system able to meet the stringent ISO Standard (for inspection of welds), and achieve requisite resolution demands with short exposures and high throughput.
<strong>Q: Why this challenge?</strong>The system was designed to work with IP plates specifically made for it. These are GE’s custom made IP plates. The time is ripe for the scanner to be democratized to be usable with any IP plate. This would let all customers take advantage of it without having to buy GE’s custom made IP plates and open the possibilities of the scanner to a much wider range of users.
<strong>Q: Why not simply use the same system as other scanners?</strong>Standard transport systems, for taking IP plates through the scanner, involved the use of foam rollers on both sides. This resulted in the active phosphor layer being touched by the rollers. To have extreme high resolution images, it is necessary to avoid touching the active front phosphor layer. This resulted in the scanner having to use specially designed IP plates that are carried using a magnetic backing, which removes the need for rollers on the sides.
<strong>Q: How are the plates currently transported through the scanner?</strong>The backside of the IP (being ferromagnetic) is picked up by a magnetic roller to start the transport process. Lateron, a magnetic belt is used to obtain a steady high quality transport.
<strong>Q: Can pressure be applied as a holding mechanism and if yes, where?</strong>Yes, pressure could possibly be used. However, the active area of the plate should not receive any pressure from the holder – and should not be obscured by the holding mechanism from the scanner.
<strong>Q: How would a transport system for the plates affect the quality of scan images?</strong>The back side of the plates can potentially scatter X-rays. Thus, if a non-uniform solution is used on the back of the Imaging plates that also scatters X-rays, then the image might contain artifacts which can interfere with the interpretability of the scan images.
<strong>Q: What is the current throughput of the scanner?</strong>45 plates (14’’ x 17’’) per hour @ 70micrometer resolution and 16 per hour at 35 micrometer
<strong>Q: What are the maximum/minimum outer dimensions of the adapter plate?</strong> The maximum width of an IP is 14 inch (35cm). The longest plate we currently provide is 1.5m (with a width of 10cm)
<strong>Q: How does the plate currently move through the scanner? Can you explain the ferromagnetic backing? </strong>The IP has a ferromagnetic back layer which is being picked up by a magnetic roller at the entrance of the scanner, just behind the feeding / input table. The roller transports the IP onto the transportation belt. The IP is fed with the phosphor side up and the back layer down.
<strong>Q: Are the magnetic rollers located on the bottom?</strong> Yes.
<strong>Q: How strong/sensitive is the magnet?</strong> The magnetic roller is just strong enough to pick up the IP. Longer plates need some help to be transported.
<strong>Q: If the transport mechanism doesn’t touch the imaging surface, so does it float with the magnetic rollers? </strong>The storage phosphor side is upwards and doesn’t come in contact with anything. After making an exposure with x – or gamma ray, the energy is absorbed by the phosphor. When the IP goes through the scanner it is being attacked by the red laser. Blue light comes out of the IP and is being picked up by a light guide which transports the light into the PMT (photo multiplier) which is your AD converter.
<strong>Q: How sensitive are the plates? Are adhesives an instant problem?</strong> Adhesive might leave residue on the back side of the IP. The plate just has to stay in position during transport (on a layer?). Plate should come of easy after scanning.
<strong>Q: The goal to search a new adapter is only to improve the quality of the images?</strong> No, the goal is to provide a solution for scanning longer IP’s and odd shapes
<strong>Q: Modifications to the CRxVision equipment can be proposed? </strong>Depends on cost, but we suggest not making modification.
<strong>Q: In the case of designing a “holder” for competitor plates: could any pressure be applied to the top of the IP plate? If yes, which area (and how much of it) could be used for “clamping” or “holding?”</strong> Yes, could be possible, but take care that the IP plate is storing the actual image to be scanned. Typically the important part of the weld is in the middle of these long plates, be we have applications (not that much, I would estimate less than 5% ) where customer is looking for indications up to the side of the IP.
<figure><img src=""https://ucarecdn.com/d4bc49ba-7802-4cea-8a18-074227ee1772/-/preview/1440x1080/""></figure>
<strong>Q: Are the IP plates fed in sets or could the process be continuous?</strong> Both, but typically they will be fed like in the pic above. 2 up to 4 plates to be scanned, then images are pre-evaluated, and next IP inserted to be scanned.On average how many IP plates are processed by the operator/ technician? This highly depends on the application (weld inspection or full production). I would say customers prefer almost continuous throughput (see datasheet for numbers).
<strong>Q: Would different materials, placed on the back/bottom side, affect the performance of the scanner? If so, what material would not be recommended for recommended design?</strong> Recommended: homogeneous uniform products, Teflon, plastics. Not recommended: non-uniform structured materials visual with radiography.What would happen if someone tried to feed competitors IP plate into the machine? Would the IP plate(s) move at all? IP would not move at all as only backside magnetic roll is available, and it would not pick up the IP at all.</span>",Universal X-ray Plate Adapter,62778,25-01-2017 15:38,29-03-2018 18:49,Universal X-ray Plate Adapter
,,,,,
"<span><strong>Background</strong>
Borescopes, an instrument used to inspect the inside of a structure through a small hole, are the current technology used to inspect things like the inside of LEAP jet engines to check for . While the engine might have to be checked frequently for safety, it can't be taken apart each time, so small tools, like the borescope, to complete inspections. Here is a sample video of a borescope inspection on a less shiny turbine:
<iframe src=""//www.youtube.com/embed/CykduKWAU6w""></iframe>
<strong>Problem Statement</strong>
All across the world, operators are looking inside big machines that are either too time intensive or can’t be taken apart, such as LEAP jet engines. Sometimes, inspections of engines delay flight times because the shiny polished surfaces of jet engines, that are traditionally inspected with borescopes, reflect light so well that they defy measurements of indications or defects with visible light. So, how do we inspect these places more accurately and efficiently? Reflect on this, your future flight time could depend on it.</span>",Measuring Reflective Objects,62834,18-10-2016 03:41,29-03-2018 22:06,Measuring Reflective Objects
,,,,,
"<div><p>Background Local Motors has created Olli, a self-driving electric shuttle connecting public transit riders, moving people around campuses, and eventually moving people in upcoming car-free downtown zones. It carries 12 people effortlessly and sustainably at 25 mph to local destinations and was the winning entry of Edgar Sarmiento’s (@eddie_mauro) in LM Labs’ international Urban Mobility Challenge. #AccessibleOlli seeks to offers mobility, independence and freedom to the growing aging community as well as those with impairments. The leading ideas for this project will result in a prototype #AccessibleOlli show vehicle that will be built and shown at CES 2018 in Las Vegas. The ideas generated will also inform the production of future Olli vehicles. <strong><a href=""https://www.youtube.com/watch?v=XQU6bGVRRWE"">#AccessibleOlli Introduction Video (3 min)</a></strong> Objectives Given the expanding demographic of the aging public, along with new opportunities to apply powerful new IoT technologies to help those with impairments #AccessibleOlli will:</p>
<ul>
<li>Allow older adults to age in place and remain independent and self sufficient within their communities</li>
<li>Assist those with vision, hearing, cognitive or physical mobility impairments to leverage transportation, improving their independence and quality of life</li>
<li>Provide enhanced access to work opportunities and community services to people of all ages and abilities</li>
<li>Ensure a successful transition to driverless vehicles for all.</li>
</ul>
<p>While we understand that each riders needs are unique to them, we are focusing on the following to the four (4) tracks.</p>
<ul>
<li>Mobility impairment, e.g. wheelchair, walker</li>
<li>Vision impairment, e.g. blind</li>
<li>Hearing impairment, e.g. deaf or hard of hearing</li>
<li>Cognitive impairment, e.g. memory deficiency</li>
</ul>
<p>To meet the needs of aging and disabled populations, technology and AI will need new User Interfaces (UIs) that are completely redesigned to meet unique interaction requirements.  Conventional vehicle UI will give way to access methods for people with less dexterous mobility, poorer hearing, lower vision and a variety of cognitive impairments.  Voice commands and touchable interfaces will be required; new AIs will need new UIs. And we need personalization of every user experience, adapting the vehicle/occupant interaction to include language used, physical environment, and preferences with regards to modality of interaction - speech, text, touch (haptic). IBM is showing the world the possibilities for new IoT solutions, allowing us to dream about the #AccessibleOlli and the future shuttle that everyone will be able to enjoy. This project is not about meeting a minimum of accessibility design. The Consumer Technology Association (CTA) Foundation, IBM, and other companies are contributing to this project. Frequently Asked Questions: <strong>Q: What is the intention of the #AccessibleOlli Challenge?</strong>To design Olli to accommodate all riders, even those with disabilities. The challenge brings together product designers, vehicle designers, engineers, technologists, fabricators, design for disability experts, and many other participating disciplines to create a meaningful #AccessibleOlli design. <strong>Q: Why focus on aging?</strong>Today’s world populations are living longer and we need to address that fact in our new transportation systems. The United Nations estimates that by 2030 there will be a 56% increase in the number of people older than 60, and by 2050, the ‘over 80’ population will have nearly tripled. <strong>Q: Why focus on disabilities?</strong> Our mobility vehicles should accommodate any rider. In the past, it was difficult to address all rider’s needs that have impairments. Today with the power of IBM’s IoT technologies, there are many new solutions to be explored. <strong>Q: Will accessibility design help all users?</strong> It is possible the breakthrough new technologies available to rethink shuttle mobility for riders with disabilities could also result in new mobility UX solutions that make travel nicer for everyone. <strong>Q: Is this really about ADA?</strong> Americans with Disabilities Act of 1990 enables riders with certain disabilities a means to use public transit. The ADA requirements for a self-driving shuttle have yet to be defined. #AccessibleOlli is seeks to make the Olli autonomous[1]  shuttle functional for as many people as possible. <strong>Q: Is there any autonomous[2]  ADA compliant vehicle today?</strong> We don’t know of one. We should also mention that every public transit vehicle on the streets of the US has a human operator, that often assists in wheelchair loading and securement. <strong>Q: Olli is a local shuttle. How does that impact accessibility design?</strong> Most passengers will ride Olli for relatively short trips and will seek quick loading (and un-loading) for all, or they may prefer to walk? <strong>Q: What is Olli occupancy?</strong> Olli’s current design calls for 8 people seated and 4 standing. That layout could change based on the #AccessibleOlli Challenge design results. <strong>Q: What is the role of IBM Watson technology?</strong> IBM Watson offers AI capabilities including machine vision, natural language processing and the ability to ‘learn’ user preferences.  This creates unique opportunities for engaging humans to make them feel comfortable, personalizing human experiences, addressing their challenges, and earning human trust (which supports and coincides with trust-building happening between humans and autonomous vehicles, naturally and over time). IBM Watson technology imbedded in Olli, provides personalization opportunities that can be tailored for each unique user’s experience <strong>Q: How can Olli accommodate a rider in a wheelchair?</strong> Local Motors is seeking solutions from the #AccessibleOlli Challenge as to how a passenger in a wheelchair is accommodated on Olli. There is a wide range of needs for Olli to carry a passenger in a wheelchair, from the wheelchair rider arranging for the trip, to boarding, being secured in an automated manner, to exiting and so on. When someone in a wheelchair approaches Olli, a ramp will need to be activated or another approach to boarding the rider. Once inside, Olli could activate a seat to fold up for securing the wheelchair. <strong>Q: How can Olli help a rider that is blind or has difficulty seeing?</strong> Olli seeks to leverage IoT technology to help those with visual impairment move freely. This rider may need help arranging a ride, navigating to Olli, navigating onto Olli, securing a seat / location on the vehicle, be alerted when time to exit Olli, and exiting Olli at their destination. they also are able to know they are going to exactly the right place - and they can use voice control to route there, giving them confidence to travel and explore. <strong>Q: How can Olli help a rider that is deaf or has trouble hearing?</strong> The #AccessibleOlli co-creation project seeks solutions that apply the latest IoT technologies so those passengers with hearing impairments can easily use the Olli shuttle.  Olli needs to have more signage, more visual info and cues (inside and outside) than public transit currently offers. <strong>Q: What other approaches work for people with hearing impairments?</strong> Someone that communicates via sign language may board #AccessibleOlli, use sign language to communicate “Take me to the library”, and #AccessibleOlli may have an avatar / hologram / screen that actually responds back in sign language. <strong>Q: Since there is no human operator on Olli, does that make IoT technology more important?</strong> Yes, If there is no bus driver, then who welcomes you aboard? Who do you talk to? Who tells you what to do? Who answers your questions and addresses your concerns?  Who tells you where you’re going and when you’re arriving? These are all considerations for a small self-driving transit vehicle.</p></div>",#AccessibleOlli,,17-04-2017 22:14,12-12-2017 17:39,#AccessibleOlli
,,,,,
"<span><strong>Background</strong>
Originally this type of pipe, which contains a solid phase butt weld, was produced using resistance heating to make the longitudinal weld via electro-resistance (ERW), but most pipe mills now use high frequency induction heating (HFI) for better control and consistency. These pipe products are still often referred to as ERW pipes, even though the weld may have been produced by the HFI process.
After the ERW or HFI, welding process, used in the manufacture of a pipe, a scarf tool is employed to scrape off both the weld root and weld cap while the metal is still very hot.  The objective of the scarfing operation is to ensure the exposed weld area is blended into the diameter of the pipe to the point that it is typically not distinguishable by the naked eye.  Pipe of this construction is frequently sold to the Oil and Gas industry and used as well casings and other tubular goods.  Industrial standards, like the API 5L document, requires the pipe weld integrity be inspected by ultrasound methods prior to putting pipe into use (in the two different places identified in the image below). 
These inspection methods require close control of the ultrasonic probe to the weld center line (typically within 3mm) to achieve an adequate inspection.  Current methods used to control this range from an operator manually moving probes during the inspection to automated methods that follow a scribe or an axial paint line applied to the pipe at the time of manufacturer with a known distance from the weld centerline. 
When this type of pipe comes out of the welding process the cap and root are peeled off with the goal of matching the ID or OD surface of the pipe.  Right after the welder you can see the actual weld line but if the pealed surface isn't uniform on both sides of the weld you don't know where the actual center line is but can assume it's in the center of the pealed area.  The problem is compounded further down the line when you inspect a final pipe prior to shipment.  The pipe and weld in this case may be a bit rusty, dirty, etc. and it makes it very difficult to visually identify and follow the weld.  
<strong>Problem Statement</strong>
This project seeks to develop a non-destructive method to identify and monitor the weld seam centerline in ERW/HFI welded pipe during pipe manufacturing after the SCARF process.  The desired solution will allow for accurately following a weld seam during ultrasonic inspection, greatly improving the inspection integrity of critical oil and gas assets.</span>",Detecting Weld Seams,62826,18-10-2016 03:41,29-03-2018 19:30,Detecting Weld Seams
,,,,,
"<div><p>Local Motors has become psyched about the opportunity and buzz around the Internet of Everything movement, and we are interested to see where this adventure can take us. To that end, we recently joined the AllSeen Alliance by the Linux Foundation to get a front row seat to the internet of things incorporation into the world.
This open source connected Rally Fighter includes:
</p><ul>
<li>Linux powered with Automotive Grade Linux <a href=""http://www.tizenassociation.org/"">www.tizenassociation.org</a> <a href=""http://automotive.linuxfoundation.org/"">automotive.linuxfoundation.org</a></li><li>Raspberry Pi board wired into the control harness via Arduino relay boards</li><li><a href=""http://octoblu.com"">Octoblu's</a> open source <a href=""http://meshblu.octoblu.com"">Meshblu </a>private IoT cloud, <a href=""https://github.com/octoblu/gateblu"">Gateblu </a>IoT gateway, and <a href=""https://github.com/octoblu/microblu_mqtt"">Microblu </a>Arduino IoT operating system</li><li>Octoblu's <a href=""https://chrome.google.com/webstore/detail/nodeblu/aanmmiaepnlibdlobmbhmfemjioahilm"">Nodeblu </a>Chrome app for controlling Internet of Things connected devices</li></ul>
<strong>Challenges: </strong>We have control via Nodeblu and other IoT protocols (HTTP, WebSockets, MQTT, CoAP, and AllJoyn) of the Hazard lights, headlights, door locks, and windshield wipers. We can also mesh other private and public Octoblu clouds together forming a rolling mesh network.What cool demos should we do at the for upcoming events to mimic real world needs or show off the capabilities of open source IoT and Cloud in things that roll?How could we implement this cool open source technology into our projects here at Local Motors? 
See the discussion page and collaboration requests below to help us brainstorm!</div>",Connected Car Project (Internet of Things),62843,05-04-2014 02:00,31-01-2018 23:17,Connected Car Project (Internet of Things)
,,,,,
"<div><p>Take a look at the following documents that further describe Olli:</p>
<ul>
<li><a href=""https://drive.google.com/file/d/0B2FExbrcnt08anJYUFBRY1NWMzA/view?usp=sharing"">Olli Specification Sheet (Rev 12-22)</a></li>
</ul></div>","Olli: self-driving, cognitive electric shuttle",62812,20-06-2016 15:52,12-12-2017 17:35,"Olli: self-driving, cognitive electric shuttle"
,,,,,
"<span><strong>Problem Statement</strong>
Airplane operators have time constraints to complete the inspections to return the airplane to service. The process of borescope inspection is time consuming as the inspector evaluates each component after waiting for the engine to cool sufficiently from the previous flight.  Most of the time, the inspector does not record imagery of the inspected parts.  Even when photographs, or videos, are recorded, there is variation of the hardware view because the probe is manually positioned. This variation makes auto interpretation of the imagery almost impractical.  Advances in imaging technologies present an opportunity to disrupt the old technology to allow capture of consistent, high quality digital imagery at less costs and burden to the operator. Likewise, advances in data management and automated image analysis enable advanced processing and analytics of inspection results.
<strong>Background</strong>
Gas turbine parts requiring the most careful attention are those associated with the combustion process, together with those exposed to the hot gases discharged from the combustion system. These are called the combustion section and hot gas path parts, and they include combustion liners, fuel nozzle assemblies, turbine nozzles, turbine stationary shrouds, and turbine blades.
Gas turbine aircraft engines require periodic inspections of critical internal parts to verify serviceability for continued operation. These inspections are normally focused on the high pressure hot gas path hardware (combustion chamber, high pressure turbine –HP- rotor blades and stationary vanes and shrouds). These inspections are done by borescopes using a manually controlled probe. This basic technique was developed over 70 years ago.
All jet engines are designed with access ports that enable a borescope to be inserted into the engine at each location within proximity of the parts to be inspected. A certified inspector inserts a borescope probe into the selected access port and manually manipulates the borescope camera, or fiber optics viewing window, to assess the internal part condition against serviceability limits provided by applicable maintenance manuals.</span>",On-Wing Engine Inspection,62802,13-10-2016 20:43,29-03-2018 22:08,On-Wing Engine Inspection
